Gender,Duration (s),RMS Energy,ZCR (Zero Crossing Rate),Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Pitch (Fundamental Frequency),MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
Female,1.8458125,0.05517446,0.126389076,1728.818808,1760.501923,3702.31681,172.4654301,-355.019928,78.3743515,-13.44454288,-6.828075409,-13.09030437,-18.51585388,-17.44188881,-12.51911545,-10.52890682,2.342476368,-16.09486008,0.4131883979,-25.29572296,-14.49545288,-9.284415245,-6.697034836,-5.183339596,-6.521402359,-7.641575336,-3.223799944
Female,1.8458125,0.054446932,0.1357842807,1939.368238,1945.438962,4160.290948,146.4143292,-342.3308105,68.70581055,-3.197531939,2.74582243,-4.592176437,-3.991397142,-1.768942595,-3.776491404,-9.083677292,-1.458512902,-17.8541069,1.486810446,-21.94503021,-14.47371578,-15.68966484,-4.968073368,0.7744039297,-4.763672352,-15.1398077,-3.652749777
Female,1.8458125,0.06003981,0.1005943561,1721.827493,1841.332346,3758.485991,160.9730543,-349.2001343,72.19581604,-5.853235245,0.6786518693,-5.84960413,-10.33242512,-5.029846668,-6.00373888,-11.10955715,-4.186717987,-20.61720085,-4.184869766,-22.32525826,-18.80654716,-13.86701107,-5.095343113,-0.4810597897,-6.383139133,-10.07325172,-1.698411703
Female,1.8458125,0.059336074,0.1028842268,1794.601286,1852.980942,3802.532328,157.9120698,-344.9905701,67.4690094,-6.087999344,4.850669384,-4.231630802,-3.14654541,-2.614199638,-3.486647844,-5.690717697,-3.529573441,-19.36212921,-2.33176136,-20.99670792,-12.92364597,-18.03918457,-7.214185715,-4.432770252,-7.408559322,-10.53827667,-4.256251335
Female,1.8458125,0.053583,0.1156553071,1575.845466,1659.208858,3220.905172,203.4595992,-370.395813,78.40232849,-14.47891903,-2.050566196,-7.677850246,-18.73268127,-12.93319321,-8.917887688,-8.046701431,-2.228613377,-17.52248955,-3.899134159,-24.36575508,-15.31229496,-16.54151917,-1.231361389,-0.5409824252,-9.700195313,-14.49906158,-3.891606569
Female,1.8458125,0.060759436,0.09401939655,1629.906188,1742.063788,3451.508621,181.0911244,-348.6904907,69.92849731,-10.14680767,7.201277733,-1.722316384,-10.88321114,-11.52662849,-10.14383602,-8.327640533,-3.326946735,-15.44562721,-5.067286015,-21.66742706,-13.7785244,-15.06151104,-6.975962639,-7.309732437,-8.545513153,-7.863237381,-3.081058741
Female,1.8458125,0.06517381,0.1013351967,1598.288151,1794.506189,3388.739224,152.9389387,-340.8600159,77.93722534,-1.552385688,5.316564083,-2.889427423,-9.660780907,-4.078425884,-10.18368626,-9.532131195,-4.591224194,-14.17333221,-2.784399509,-21.25936317,-13.24250412,-18.12274551,-2.747384787,-3.173186541,-6.831690311,-7.997038364,-6.630050182
Female,2.0620625,0.06188775,0.1605694111,1966.652501,1683.057409,3903.966346,185.6505351,-346.0587769,64.89086151,-35.16102982,0.3629465103,-4.394561291,-22.64903641,-24.34881401,-1.679973841,-3.402908325,-10.64011002,-18.0889225,1.147994399,-18.73832893,-15.89818573,-7.280043125,-7.13638401,1.335262775,-3.41865015,-9.115345955,-4.360609531
Female,2.0620625,0.0648734,0.171108774,2089.481594,1786.1428,4132.211538,162.6058186,-337.3157654,61.25242233,-29.79141426,4.328623295,1.188987017,-14.75492096,-22.03993988,0.08366138488,-5.910140514,-14.1762104,-17.93666267,-3.835190296,-18.11380768,-17.5305748,-7.927170753,-6.619078636,-7.73542881,-4.878817558,-9.339870453,1.852606416
Female,2.0620625,0.06771085,0.135922476,1878.286081,1766.715871,3848.317308,162.3463422,-340.2440491,68.74877167,-21.82888412,15.08936691,1.704966426,-21.47887802,-15.32375431,1.526536703,-4.572541714,-15.38371277,-23.50123978,-8.971065521,-22.25022888,-18.93365288,-9.794298172,-5.736377716,-4.635359287,-7.662022114,-12.5394001,-1.847258806
Female,2.0620625,0.06653577,0.159750601,2044.157967,1796.414763,4111.658654,165.2348907,-337.8375549,62.13830948,-25.88098907,9.976405144,3.302794456,-16.04695129,-20.63972282,1.450574636,-3.777811527,-15.97382259,-20.45609474,-3.359423637,-22.16850662,-15.67997265,-15.59001637,-3.005191803,-7.827377319,-7.256726742,-12.12406254,-3.170871496
Female,2.0620625,0.06466057,0.1895282452,1993.642524,1668.257421,3793.629808,215.4383304,-347.876709,60.07383728,-36.3911705,-4.463579178,-10.17911243,-26.45057678,-30.29925346,-0.6139297485,-2.087571383,-12.90532017,-15.50240231,-5.86323595,-15.69563484,-15.3671236,-11.46610165,-2.76054883,0.202666536,-8.327307701,-7.40455246,1.269562006
Female,2.0620625,0.064200826,0.1743464543,1974.097405,1763.372437,3841.346154,167.5384442,-341.3453979,65.10952759,-23.80724335,9.166330338,0.3137661815,-18.29948616,-23.92443657,-0.02948881313,-2.921094179,-11.56787395,-12.47386169,-5.44662571,-13.69829082,-15.21367741,-17.76857567,-5.743918419,-6.887035847,-9.566579819,-11.73305416,-1.267967582
Female,2.0620625,0.06769966,0.1592773438,1887.327072,1742.420244,3691.466346,197.0619617,-331.3177795,65.23075104,-22.60664749,6.886348724,-3.704036713,-19.63986778,-23.53096199,-1.964993238,-5.867845535,-13.44997787,-14.83555794,-5.455287933,-13.49564552,-12.63396454,-15.81976414,-3.218526363,-6.583138943,-7.358957767,-6.874875069,0.113853693
Female,2.01325,0.04821844,0.2014663938,2428.840633,2161.622197,5025.545635,155.3280137,-323.7806396,59.35323334,14.56697369,5.182533741,-8.720677376,-22.9990654,-16.41046524,-6.286113739,-10.66339779,-2.681027174,-19.47155762,-1.122655869,-26.00362778,-13.7283268,-9.757055283,-2.088314056,-14.24589634,-2.040060282,-11.84451389,-4.72624445
Female,2.01325,0.050391853,0.1940491691,2543.52277,2283.066756,5275.545635,138.0119609,-307.536499,54.62117004,11.76924133,5.456362724,0.1205195263,-17.39153671,-7.260001183,-2.150870323,-9.061450005,-2.694176197,-18.47360611,-1.662866354,-18.42534065,-10.83301163,-13.25103474,-3.398093462,-17.59299278,-3.052052975,-17.75716972,-5.825609684
Female,2.01325,0.06880199,0.119202629,2223.801182,2231.66097,4885.168651,139.0428049,-301.2314758,62.94145584,22.93288803,8.198629379,-2.03187418,-14.93110275,-4.288995266,3.341613054,-2.699931622,-2.398396492,-15.09893799,4.735664368,-18.2659874,-13.5074625,-9.379930496,-5.774353027,-18.19527626,-3.519515991,-14.19304848,-6.193917274
Female,2.01325,0.06343235,0.1380518353,2315.13538,2217.78489,4980.530754,145.467946,-297.9390259,58.60231781,18.73833275,11.2682085,-4.389056206,-14.04940891,-7.581503868,0.7764106393,-2.248156309,-3.699116945,-16.92300415,4.906310558,-16.09137344,-10.99933147,-12.24118423,-1.942888379,-15.39831638,-1.917840719,-15.26135254,-5.987782955
Female,2.01325,0.04627357,0.2229507688,2478.941746,2139.113808,4946.552579,167.6918145,-328.1397705,57.95568466,8.648059845,-0.02422793023,-7.335659981,-21.24204636,-17.91614342,-2.747720718,-11.88499928,-9.703415871,-21.19665909,-4.760521412,-21.13339424,-9.600840569,-13.0402317,0.9921344519,-12.93217754,-0.6682234406,-10.58232021,-2.506150246
Female,2.01325,0.06426285,0.1891973586,2409.982011,2151.96941,4789.806548,142.098271,-298.8659363,57.98124313,13.82104874,7.012401581,-5.605345249,-17.17200089,-7.271063328,-0.5783035755,-5.266994953,-4.171479225,-13.93931293,-2.280857325,-16.61241722,-5.853693962,-14.20246506,-3.578871965,-15.39645004,-3.334554434,-13.96222591,-9.77388382
Female,2.01325,0.073214665,0.1686972966,2346.183096,2178.827688,4780.009921,143.8342736,-288.2694092,55.69692612,22.15406227,8.881994247,-9.364177704,-19.71735191,-8.720294952,2.052396774,-8.646302223,-5.012895584,-13.09054184,0.9998949766,-19.13310051,-8.406229973,-18.72281265,-5.922567368,-17.69209671,-1.43303144,-12.55157948,-9.046238899
Female,1.78675,0.060573597,0.2504272461,2654.472306,2047.121325,5123.74442,154.0167955,-301.9829102,41.1816597,14.02481556,12.93532562,-14.05989075,-17.82814217,-13.49365234,-7.803730488,-13.54307556,-10.76547527,-23.4503994,0.1407449692,-13.69037819,-8.15945816,-6.97376585,-4.006065369,-14.60314846,-4.827144146,-6.933570862,-5.007074833
Female,1.78675,0.0451274,0.2612479074,2830.156326,2081.625474,5319.335938,145.8970143,-323.521698,33.29916,12.82387543,12.40043449,-11.8925333,-8.629185677,-8.348158836,-6.901134014,-14.39136696,-9.44652462,-21.75549698,-3.270240784,-15.24516487,-10.28301334,-8.97407341,-0.626121819,-12.26093388,-1.930934906,-16.53085136,-7.974444389
Female,1.78675,0.048401006,0.2139456613,2547.918733,2025.327106,4931.501116,157.4222317,-329.3587036,41.29406738,18.25552559,15.47363091,-13.71826172,-6.086491108,-4.967291832,-4.084023952,-9.622926712,-6.806892872,-16.91350174,1.462960362,-13.95193672,-8.307179451,-4.744562626,0.3984434903,-9.883193016,-7.082981586,-18.20666885,-12.28914165
Female,1.78675,0.052656893,0.2161690848,2604.83743,2032.329673,5013.671875,157.5727119,-319.3279114,38.59344482,18.27407265,21.2195015,-3.917448759,-4.435899258,-11.53853035,-2.834990263,-12.22306156,-7.317440987,-16.93582916,-3.258881807,-13.48476219,-9.883925438,-10.63119507,3.820872784,-14.68421936,-6.576937199,-21.63472176,-13.55792046
Female,1.78675,0.05892064,0.2273123605,2475.846682,1924.152189,4595.703125,184.6036793,-313.7359924,45.74023438,9.712244987,8.236761093,-18.21449089,-21.30755234,-11.53610802,-1.512606502,-10.14307213,-11.23366261,-17.95869446,-3.496482134,-13.8246069,-4.24589777,-7.826607227,0.4024398923,-7.663091183,-5.908349037,-15.47457218,-7.303230286
Female,1.78675,0.049343597,0.2136317662,2515.455,1987.361895,4805.94308,160.7543119,-317.804718,48.9307518,13.76503181,13.57127953,-14.21972656,-18.53079796,-14.39016819,-0.3850162923,-11.00997162,-10.20375156,-18.1499424,-4.581894875,-15.45664787,-11.61519718,-15.85584736,-3.215839386,-11.45774174,-6.285642147,-12.18008423,-8.335016251
Female,1.78675,0.052784447,0.2308523996,2549.470363,1992.925708,4846.40067,168.2474346,-330.2584839,41.46630096,23.60406494,19.95143318,-14.64311409,-15.81633949,-15.23079681,-6.916197777,-12.02433491,-9.277928352,-24.53037071,-11.01905155,-16.51305962,-7.713409424,-14.23770618,1.131633043,-12.37975979,-9.38252449,-8.390177727,-7.507941723
Female,1.813125,0.020848434,0.2060546875,2425.683105,2027.458756,4924.205044,141.696049,-386.0397034,51.97637558,-3.498144865,2.265410662,-10.54694176,-2.311089277,-6.560609341,-0.9869297743,-10.12614059,4.08459425,-15.74028397,-0.3697054088,-18.53567314,-5.083559036,-5.506046295,1.301157951,-13.30133343,-6.994139194,-12.63731098,-0.4224504232
Female,1.813125,0.021899475,0.1634714227,2535.198644,2045.430274,5033.854167,140.7494643,-380.4968262,36.17975998,-6.102533817,9.324741364,-3.238211155,6.295189381,-5.748075962,4.741846561,-4.936233044,6.398400784,-9.66144371,3.207135677,-11.86266804,-8.420466423,-11.68535519,0.4116437137,-14.21526241,-4.277963161,-15.61249828,2.435612917
Female,1.813125,0.024352573,0.1303625274,2286.2279,2065.124201,4840.460526,141.3196778,-374.2027588,45.98707581,-0.5016664267,14.8582077,2.835592508,4.327020645,-6.353815556,7.350703239,-6.897871971,9.391137123,-5.779070377,5.182327747,-13.86815739,-6.472960949,-13.30047798,-6.574206352,-11.51460266,-3.304558754,-18.83358002,-0.9207720757
Female,1.813125,0.022771478,0.1834738213,2523.595479,2054.085822,5056.743421,150.0334611,-371.6839905,36.70213318,-11.08988762,11.77308941,7.847678185,8.834832191,-7.658939362,4.505624294,-7.90835619,0.762452662,-18.60671425,-0.03490142524,-19.01939011,-8.15243721,-15.29122257,-4.674293518,-15.02574444,-4.83486414,-13.95909977,0.9817892313
Female,1.813125,0.020363236,0.2056777686,2313.781789,1802.27387,4312.911184,190.8557694,-402.442627,46.46705246,-26.89583969,-2.496970415,-10.04554653,-10.10050488,-16.25752831,2.489121199,-1.752987385,4.123521805,-12.71880817,-2.311868191,-19.48023224,-10.1065731,-8.785775185,6.670842171,-3.415425539,-5.391037464,-13.05492496,2.788173199
Female,1.813125,0.024947982,0.1238949424,2023.295177,1867.258448,4124.862939,148.6952336,-372.9067078,59.51122284,-2.433332682,16.038517,-1.761265635,3.089694262,-8.981349945,5.624236584,-11.04791832,-7.044883728,-14.33120537,2.48297739,-13.26652908,-11.02458477,-15.28057575,-6.67996645,-14.71745586,-5.02132988,-9.491710663,2.255928993
Female,1.813125,0.03026998,0.1080986157,2015.573342,1908.83963,4071.134868,146.640661,-365.5292969,55.29365158,-1.951238513,11.38346291,2.274214029,5.290397644,-5.139464378,12.33736038,-6.876974106,2.433023453,-10.51514816,-0.6986023784,-8.954894066,-4.872935295,-18.24206161,-2.761814594,-5.543367386,1.62524128,-8.265565872,-3.86387682
Female,2.0538125,0.041874543,0.1178034856,1811.482924,1829.798538,3814.0625,169.8169436,-403.9486084,53.04159927,-1.668240666,13.62667847,-0.8183123469,-6.421512127,-1.762681246,-3.522408247,-8.595542908,-1.995402217,-10.8068428,-6.539010048,-12.14329147,-9.332433701,-12.09672546,-6.084915161,-6.295754433,-4.97804594,-9.323713303,-12.10350037
Female,2.0538125,0.040238757,0.1554086538,2061.348719,1950.540279,4326.201923,159.5650865,-399.2021179,47.0982933,2.315888166,17.198349,-1.465936184,-6.513652325,-2.546365738,-2.155086279,-6.813074589,-4.455362797,-12.023983,-8.540688515,-7.59165287,-5.401747704,-13.75965595,-4.500524521,-7.879608631,-2.360949039,-15.90820694,-6.922956944
Female,2.0538125,0.047315553,0.106648137,1759.144847,1891.233141,3955.168269,147.847707,-385.8679504,58.99418259,6.723549366,18.37789154,-1.872161269,-8.275164604,2.027670145,-2.437554121,-10.07221127,-1.993889689,-13.69549179,-4.665593147,-14.63595867,-11.33625031,-17.02115822,-11.337883,-14.75888824,-6.092880726,-12.6752224,-9.263220787
Female,2.0538125,0.045220394,0.1220327524,1879.741828,1893.146911,4005.528846,151.4019912,-388.3970642,53.92074203,2.989696026,19.79050064,1.195461869,-8.846054077,-7.13672924,-1.227312326,-4.594847679,-4.783250332,-16.69225693,-9.857821465,-17.82262421,-6.93951273,-16.37742615,-5.73651123,-8.782989502,-7.691905975,-15.24657536,-9.819366455
Female,2.0538125,0.040114924,0.129281851,1664.791684,1763.222461,3529.6875,169.8588912,-402.2098389,59.25936508,-3.30283618,5.185793877,-6.393394947,-11.03212452,-8.124465942,-5.762724876,-5.307217598,1.712870717,-7.854161263,-9.528264046,-10.57275677,-7.944691658,-14.10451317,-6.707120419,-12.39411545,-11.00636768,-13.23767471,-7.122103214
Female,2.0538125,0.046353873,0.1048302284,1640.426678,1749.687522,3437.860577,159.3960563,-386.4673157,62.60892487,-0.9357886314,18.30211067,-4.156680107,-5.743400097,-1.626916051,-3.30250144,-8.936310768,-7.075545311,-11.45294094,-8.835515022,-9.27167511,-4.640454769,-11.6173048,-9.428172112,-12.36931705,-6.129493237,-10.88400364,-10.77971649
Female,2.0538125,0.05157921,0.1244741587,1774.569829,1811.267565,3735.9375,193.5758227,-383.4760132,56.5627327,0.5646710992,13.77970791,-6.893124104,-10.22051239,-11.28448772,-10.79580784,-19.19721222,-6.759099007,-13.85404968,-13.8146925,-11.76535034,-2.760629654,-8.105148315,-1.632440567,-4.975594997,-2.888757229,-5.085494518,-5.41954422
Female,1.8876875,0.061256316,0.1218385858,1635.730859,1586.990334,3329.051907,176.4463343,-338.5093994,90.96582794,-17.98632813,2.708054781,-4.986671925,-18.85182762,-23.13714409,-18.44683647,-6.278416157,-6.93426609,-16.64790916,-9.901836395,-21.90576172,-13.33187103,-11.60137939,-4.724036217,-8.634371758,-7.660068035,-7.814653873,-8.918587685
Female,1.8876875,0.056605145,0.1465009269,1920.611543,1770.296897,3990.730932,191.8165345,-332.0400696,81.07936096,-20.18342972,-7.275962353,-5.704585075,-18.06778336,-19.53318405,-12.2463522,-6.721282005,-10.19833279,-19.67555046,-6.565808296,-19.24931526,-12.05897141,-11.17910194,-4.364470482,-9.93019104,-5.152714252,-11.87665844,-6.156870365
Female,1.8876875,0.06378564,0.08869339248,1551.586385,1678.158548,3396.054025,169.1301501,-328.8237,94.19322968,-11.73611927,2.099817753,1.470250845,-10.51200104,-12.67411423,-12.02891159,-2.780506134,-5.437516689,-13.26645184,-2.851123333,-11.50156307,-8.181936264,-7.580533981,-0.3202125132,-9.648111343,-3.578539371,-11.08201599,-7.914653778
Female,1.8876875,0.059617512,0.1238496425,1820.92895,1744.476438,3824.549788,160.5810305,-332.2058105,81.64490509,-17.16002083,1.641821861,-6.583155155,-13.04407406,-15.3817091,-11.79608631,-0.6845479608,-11.25112152,-19.60494041,-5.189967632,-19.11758614,-6.473444462,-8.804157257,-0.5944012403,-8.069156647,-8.104494095,-13.20628357,-8.07644558
Female,1.8876875,0.056885343,0.1501423464,1685.355988,1610.345133,3420.418432,173.0429811,-343.9071045,89.68476868,-21.92474937,-6.977534294,-8.144984245,-19.68331528,-23.39683151,-17.30722618,-4.823005676,-8.656972885,-14.96414089,-6.032042503,-15.19958496,-10.37078762,-10.99642658,-1.059349418,-4.639275551,-7.333153725,-13.82446194,-7.702070236
Female,1.8876875,0.060012996,0.1078356727,1589.927357,1624.758321,3280.852754,159.4742583,-330.9256897,93.22975159,-16.25722885,3.724001408,-2.451771975,-14.88284683,-20.263731,-19.62956238,-7.649419308,-10.98927212,-19.4995327,-8.421299934,-17.19093704,-8.882920265,-12.17742825,-3.276880503,-2.918441534,-8.502654076,-10.54615784,-6.394585133
Female,1.8876875,0.073167555,0.08814717956,1387.964781,1547.673334,2804.290254,172.4100004,-321.3560791,94.85627747,-13.45336437,3.253978729,-2.549771786,-12.44578075,-14.8878336,-14.90333557,-7.077044487,-14.97237873,-19.53788376,-14.76968098,-22.06778908,-10.32921982,-15.14693737,-4.117391109,-9.425868988,-9.380105019,-10.48946667,-6.249087811
Female,1.97125,0.050874677,0.1220545615,1756.752737,1739.494075,3742.061492,163.2111131,-347.4501343,84.10909271,-14.30880165,4.570949078,-8.65845871,-13.27323723,-13.03316116,-0.7994206548,-7.957694054,-6.018054008,-17.11733055,-5.057952881,-22.43322182,-14.59051323,-13.21265411,-6.336984634,-11.59805965,-3.91198945,-10.46291161,-8.257978439
Female,1.97125,0.049495824,0.1528162802,2046.518358,1863.171363,4282.258065,179.9934595,-347.1267395,71.74804688,-17.02637482,1.874801755,-2.458948135,-13.37496758,-10.1847229,0.4181849062,-7.15883255,-0.6728717685,-13.83284283,-5.458696365,-28.79253578,-14.40816593,-10.68209457,-6.927494049,-8.448843956,-3.113227129,-14.28330898,-3.349649906
Female,1.97125,0.055394348,0.1232201361,1840.250101,1812.792733,3965.347782,149.5817398,-345.6286011,81.23535919,-11.36915302,7.718078136,-0.0215739198,-16.30036926,-11.79184151,-2.860765219,-6.672336578,-0.465911448,-11.30429459,-3.019666672,-17.0373764,-15.74002647,-5.098255634,-3.540964603,-8.090925217,-2.561950684,-13.69052315,-5.334676743
